//ID	µØÍ¼±àºÅ	»»ËãºóX×ø±ê	»»ËãºóY×ø±ê	»»ËãºóZ×ø±ê
6607	world	-1688.1	219.61	67.73
6608	world	-784.46	221.77	-1304.25
6609	world	1958.63	223.69	3363.9
6610	world	2005.44	220.43	2698.63
6611	world	1997.76	219.71	2694.51
6612	world	2036.56	217.18	3045.95
6613	world	216.7	219	2531.93
6614	world	202.53	218.75	2537.12
6615	world	-125.21	217.75	-851.9
6616	world	-85.94	217.43	-842.44
6617	world	-90.18	217.42	-831.71
6618	world	-4.9	219.07	-2111.07
6619	world	-4.81	218.92	-2102.03
6620	world	-1299.26	219.26	1451.56
6621	world	171.77	219.56	1175.78
6622	world	182.22	219.82	1165.09
6623	world	-1822.7	523.83	-1278.51
6624	world	-1776.03	541.97	-1423.07
6625	world	-127.95	219.11	-354.28
6626	world	-1774.81	525.79	-1371.81
6627	world	-1844.47	523.86	-1277.23
6628	world	-1791.99	527.49	-1377.82
6629	world	601.79	218.88	2899.71
6630	world	1672.24	250.01	3342.7
6631	world	-1415.39	253.02	898.4
6632	world	-1739.39	227.97	86.31
6633	world	525.42	221.82	192.4
6634	world	-635.49	219.37	-1429.18
6635	world	-285.51	218.96	-1983.65
6636	world	1589.5	222.6	744.86
6637	world	1281.62	219.61	1084.34
6638	world	1885.26	242.67	141.08
6639	world	310.56	221.01	1869.16
6640	world	-126.22	219.26	-334.57
6641	world	1885.59	242.57	180.01
6642	world	1314.49	221.74	699.49
6645	a07	-195.21	332.63	14.57
6645	a07	213.13	332.69	94.24
6646	a07	-205.2	332.65	-87.68
6647	a07	-137.6	332.07	-136.73
6648	a07	-122.02	332.65	-169.51
6648	a07	199.59	333.81	170.18
6649	a07	-138.03	332.56	-131.55
6650	world	-1176.78	285.44	-1053.14
6650	a07	-205.12	332.68	-18.84
6650	a07	135.51	333.25	48.67
6651	a07	-147.9	332.73	-51.17
6652	a07	-132.63	332.73	-76.47
6652	a07	205.92	333.98	102.59
6653	a07	42.32	335.14	-122.06
6654	world	236.23	270.09	3225.03
6684	world	1321.28	219.62	838.95
6685	world	375.51	266.19	3403.03
6686	world	-1416.32	256.7	992.64
6731	a09	-235.57	335.36	314.08
6732	a09	-129.79	332.56	-94.05
6732	a09	-238.77	334.99	206.34
6733	a09	8.2	332.65	96.71
6734	a09	-96.17	332.65	-185.68
6734	a09	51.75	333.73	117.55
6735	a09	130.81	333.33	-434.74
6736	a09	224.58	337.74	-472
6737	a09	117.8	332.65	-119.28
6737	a09	135.45	332.97	223.43
6738	a09	187.01	334.64	-30.71
6739	a09	204.67	333.93	-82.83
6739	a09	143.43	332.57	249.6
6740	a09	141.51	332.65	-101.58
6741	a09	460.53	335.48	258.53
6741	a09	-89.62	332.54	403.97
6742	a09	361.44	332.74	419.14
6745	a09	193.22	334.41	-371.9
6747	a09	445.27	333.67	349.54
6747	a09	-189.98	333.26	400.15
6747	a09	63.57	332.56	-372.38
6748	a09	66.86	338.71	-171.09
6770	a02	328.79	223.03	-327.72
6771	world	102.27	225.65	-249.09
6771	a01	-255.52	445.92	409.73
6772	world	1826.32	219.7	4362.09
6773	world	3045.38	192.63	3870.93
6797	world	962.8	225.06	3195.08
6805	world	2239.59	228.33	2186.07
6812	world	352.96	237.65	-3.31
6812	a01	-10.71	432.28	295.53
6836	world	1814.21	219.61	1319.14
6837	world	-2834.77	379.06	3075.73
6837	world	350.99	270.09	3237.04
6837	world	-1515.52	254.17	873.89
6837	world	1412.24	219.61	1357.9
6837	world	1299.8	219.61	1096.61
6837	world	1398.52	221.56	732.01
6837	world	-762.96	218.98	-1231.28
6837	world	2604.09	234.64	-1854.86
6838	world	-288.92	223.78	2140.52
6840	a08	35.67	352.51	-25.42
6841	a08	7.79	352.48	8.11
6842	a08	35.03	342.37	94.22
6843	a08	7.71	352.55	11.3
6844	a08	55.46	342.54	95.45
6855	a11	57.8	317.52	24.08
6856	a11	75.14	317.72	24.45
6857	a11	66.47	317.68	9.69
6893	world	447	266	3434.56
6894	world	-1504.17	253.01	1023.13
6895	world	-660.63	222.97	-1131.47
6896	world	1640.58	235.29	3354.24
6897	world	-321.28	222.91	-1980.93
6898	world	226.85	222.19	1036.59
6899	world	501.52	220.93	160.29
6900	world	975.74	218.93	4225.96
6901	world	2188.02	222.06	1721.63
6902	world	-2734.24	523.01	422.63
6903	world	-1733.49	227.35	99.13
6919	world	-2509.4	219.37	2594.81
6919	world	-2201.64	226	3201.85
6919	world	-2454.19	218.1	3465.87
6919	world	408.75	266	3432.13
6919	world	-1563.46	261.37	991.11
6919	world	1623.72	219.61	1196.72
6919	world	1326.37	219.62	1051.26
6919	world	1511.62	219.61	870.21
6919	world	1219.74	219.61	855.22
6919	world	1312.68	219.62	1236.29
6919	world	1840.79	219.61	842.9
6919	world	-704.37	218.98	-1225.02
6919	world	2637.71	228.05	-1822.96
6986	world	1605.36	219.63	-2489.87
6987	world	1409.58	217.56	-728.97
6987	world	1872.96	215.76	-1124.89
6988	world	1935.5	217.54	-1045.56
6989	world	2782.22	228.31	-1460.14
6992	world	-2984.99	259.35	2345.28
6992	world	-2552.36	265.29	2217.84
6993	world	-2101.58	250.53	3331.16
6994	world	-1636.42	230.43	3318.11
6995	world	-269.52	226.38	4471.74
6996	a18	254.19	149.88	274.9
6997	world	1352.87	252.17	-1632.31
6997	world	1701.94	231.57	-1653.83
6998	world	1752.5	256.16	-1681.33
6999	world	1959.58	230.21	-1638.88
6999	world	2035.83	218.86	-1989.6
6999	world	1721.78	231.09	-1940.8
7000	world	2021.98	218.06	-1319.47
7001	world	1598.02	218.88	-1401.68
7002	world	1535.03	215.6	-1221.58
7003	world	1311.88	217.63	-1311.25
7004	world	1785.72	215.58	-1261.62
7005	world	1315.37	217.21	-941.16
7005	world	1645.41	218.87	-870.45
7006	world	1615.22	215.6	-815.19
7007	world	1951.09	215.6	-1085.76
7008	world	1758.66	217.39	-699.36
7008	world	1645.57	216.28	-1200.15
7009	a13	-68.06	341.64	222.96
7010	a13	-63.64	341.64	222.86
7011	world	-2201.87	220.59	3568.4
7011	world	-2085.16	220.44	2606.2
7011	world	-2634.25	219.86	3512.47
7011	world	-2590.4	218.64	3120.85
7011	world	-3029.37	225.64	3003.19
7011	world	-3005.02	225.98	2610.81
7011	world	-2628.77	218.29	2670.95
7011	world	-2135.59	219.54	2941.7
7011	world	-2967.64	231.49	3465.4
7011	world	-1707.09	223.46	3113.52
7014	world	1565.23	294.95	-1782.63
7015	world	-2514.51	526.83	-1108.38
7015	world	-2293.5	532.15	-1512.21
7015	world	-2612.8	554.96	-1463.89
7015	world	-2161.74	547.14	-989.41
7015	world	-2586.96	617.76	-760.16
7016	world	-2511.18	529.86	-1336.76
7016	world	-2208.75	540.31	-1025.23
7016	world	-2897.22	524	-1116.75
7016	world	-3019.3	533.92	-637.1
7016	world	-2693.71	529.97	-803.78
7016	world	-2333.05	523.91	-658.46
7016	world	-2869.1	529.56	-1470.32
7017	world	1769.02	241.73	-2366.2
7018	world	2377.16	222.78	-1045.96
7018	world	2741.17	248.57	-1100.56
7018	world	2392.3	223.94	-1756.05
7019	world	-1700.6	220.8	2141.36
7019	world	-2001.72	219.52	1995.92
7020	world	-2443.82	233.64	2483.83
7020	world	-2848.19	255.74	2469.15
7020	world	-2913.51	231.99	1678.11
7020	world	-2989.7	300.97	2106.6
7021	world	-2784.57	261.87	2195.57
7022	world	-2152.85	248.53	2333.07
7022	world	-2482.15	234.44	2429.62
7023	world	2461.49	372.03	-197.37
7023	world	2197.75	239.86	-1768.46
7024	world	2635.15	218.91	440.05
7024	world	2070.31	220.98	-209.08
7024	world	2402.36	231.71	-101.62
7024	world	2408.2	227.94	-499.28
7024	world	2832.86	241.32	-630.08
7025	world	2650.48	218.98	685.53
7025	world	2845.53	238.68	-248.96
7025	world	2536.87	218.19	203.87
7025	world	2683.9	225.51	-982.61
7027	world	1510.61	310.08	-936.19
7028	a19	160.17	223.67	-210.8
7028	a19	-191.38	221.98	-188.55
7029	a19	162.47	220.31	-91.88
7030	a19	121.94	224.18	-219.61
7030	a19	94.42	221.56	96.14
7031	a19	-47.76	220.96	314.27
7033	world	-1528.45	226.19	3179.71
7033	world	-1902.8	228.73	3209.99
7035	world	-1922.78	221.06	2986.38
7035	world	-1443.86	237.84	3088.8
7035	world	-1619.35	221.86	2600.64
7039	world	-2424.69	532.2	-2147.31
7039	world	-2985.34	549.96	-2312.1
7039	world	-2957.62	523.95	-1916.55
7040	world	-2689.17	524.42	-2525.97
7040	world	-3024.71	524.09	-2049.23
7040	world	-3000.4	523.84	-1612.95
7040	world	-2723.54	527.77	-1971.66
7041	world	-2567.83	524.62	-2307.78
7041	world	-2158.46	573.82	-2497.81
7041	world	-2190.53	589.76	-2047.44
7042	world	1830.97	245.49	-1825.85
7043	world	2708.07	234.32	-1258.74
7043	world	2567	226.09	-956.37
7044	world	-1231.16	253.4	1963.77
7044	world	-1241.84	368.82	2409.34
7045	world	1446.6	237.79	-1604.81
7045	world	1316.32	230.11	-2284.81
7045	world	1659.03	236.71	-2348.26
7046	world	1282.81	283.19	-2330.81
7046	world	1614.98	221.56	-2446
7048	world	2060.21	321.15	268.53
7048	world	2323.13	221.78	-797.7
7048	world	2756.64	229.55	-554.19
7048	world	1447.39	269.85	-2437.64
7049	world	1212	231.2	-2211.84
7051	world	-1323.71	261	1926.63
7051	world	-1352.98	302.54	2228.39
7051	world	-1682.52	227.35	2068.77
7052	world	-2375.15	523.95	-1838.83
7052	world	-2839.34	523.95	-2249.2
7052	world	-2726.81	524.14	-1844.66
7053	world	1714.3	218.77	-1489.65
7053	world	1791.34	219.61	-2471.87
7054	world	2699.13	225.34	-1485.77
7054	world	2577.56	232.67	-1142.76
7054	world	2086.01	221.77	-1677.92
7055	world	2162.41	221.06	-1449.43
7056	world	2491.45	224.65	-1349.7
7056	world	2090.94	223.77	-1786.77
7057	world	-1916.94	226.85	1873.95
7057	world	-1550.45	243.67	1911.74
7057	world	-1669.53	251.38	1564.91
7058	world	1106.65	251.79	-2002.82
7058	world	1140.79	231.89	-1556.2
7058	world	1529.08	224.51	-1892.48
7059	world	2695.4	225.63	-782.81
7061	world	2473.25	206.99	879.43
7061	a18	-137.78	204.87	-196.13
7062	world	2396	191	-1996.52
7062	a18	112.24	212.8	-2.66
7062	a18	-211.62	190.34	-245.86
7062	a18	255.35	155.76	-466.73
7063	world	2635.54	195.97	-2177.35
7063	a18	56.66	166.45	152.2
7063	a18	-11.67	204.44	-251.16
7064	world	2916.86	199.96	1145.7
7067	a18	192.38	204.3	-134.11
7068	world	-2717.14	223.68	3977.23
7068	world	-2737.62	233.52	4457.05
7068	world	-2405.98	217.97	4169.61
7068	world	-2229.95	222.36	3612.52
7068	world	-2727.08	223.67	3610.88
7068	world	-3042.81	218.27	3856.44
7069	world	-2131.24	217.58	4090.91
7069	world	-2486.03	233.06	4282.32
7069	world	-2798.77	232.2	4525
7069	world	-1702.31	250.7	3859.25
7069	world	-1147.69	219.61	4179.73
7069	world	-1282.65	256.76	4501.41
7069	world	-1634.73	225.6	4249.63
7070	world	-2108.87	217.88	4312.26
7070	world	-2083.36	223.48	3822.69
7070	world	-1549.18	250.83	4193.53
7070	world	-1634.23	220.35	4588.77
7070	world	-1057.77	219.47	4588.43
7071	world	-1001.59	119.32	3627.97
7071	world	-674.5	119.39	3696.71
7071	world	-359.34	297.03	3774.55
7071	world	-871.39	226.71	4086.98
7072	world	-2025.45	224.15	4425.32
7072	world	-903.24	269.37	3730.84
7072	world	-838.09	297.9	4415.19
7072	world	-536.62	222.14	4210.33
7073	world	-2552.38	219.36	1946.66
7073	world	-2203.3	242.5	1892.23
7074	world	-3001.61	288.16	1924.44
7074	world	-2685.59	249.27	1786.95
7075	world	-2373.46	219.95	2206.32
7075	world	-2120.55	220.72	1849.43
7076	world	2595.96	327.98	-597.72
7077	world	2304.73	218.23	520.64
7077	world	2775.85	218.98	526.09
7077	world	2272.5	233.98	177.36
7077	world	2803.5	255.41	-292.75
7077	world	2720.38	227.15	154.61
7078	world	2307.44	347.92	-1424.39
7079	world	2216.66	322.16	-1640.94
7080	world	2097.07	327.27	-1968.79
7081	world	2186.16	327.07	-1891.02
7082	world	-1298.83	370.23	1641.38
7083	world	-2155.25	233.02	2180.07
7084	world	-2314.67	240.55	2417.3
7090	a18	222.35	178.59	-420.42
7091	world	-2913.51	231.99	1678.11
7092	world	2093.1	183.39	-2480.17
7092	a18	-270.82	134.89	122.48
7093	world	-837.22	229.84	3765.27
7094	world	-2171.31	580.97	-2138.65
7126	world	2544.8	227.36	3.21
7127	world	2491.68	225.26	342.03
7128	world	2553.71	223.58	383.68
7129	world	2667.58	222.65	269.8
7130	world	2487.85	219.52	97.17
7131	world	2409.11	219.52	162.16
7132	world	2438.85	219.52	157.26
7133	world	2281.23	218.25	527.72
7134	world	2386.25	238.4	-148.83
7135	world	2358.04	225.61	219.47
7136	world	2600.19	221.15	348.84
7137	world	2462.47	233.71	398.12
7138	world	2766.23	221.19	677.07
7139	world	2346.28	219.52	120.71
7140	world	2220.61	224.01	-243.09
7141	world	2905.9	220.79	207.55
7142	world	2679.95	221.21	602.9
7143	world	2761.93	220.8	659.91
7144	world	2573.64	219.93	479.16
7145	world	2196.68	219.15	117.11
7146	world	2404.55	219.52	150.54
7147	world	2523.1	218.1	140.57
7148	world	2516.58	218.11	146.58
7149	world	2427.28	220.09	646.36
7150	world	2484.33	226.08	-85.32
7151	world	2679.54	220.89	656.92
7154	world	2756.39	218.94	689.23
7155	world	2640.33	219.96	606.25
7156	world	1491.11	225.1	-1736.77
7189	world	1473.28	229.09	-1771.32
7190	world	1551.96	220.05	-1752.02
7191	world	1470.93	229.21	-1743.59
7192	world	1381.5	218.84	-1332.34
7193	world	1395.73	219	-1345.98
7194	world	1363.28	218.84	-1348.64
7195	world	2787.27	229.52	-917.29
7196	world	2612.13	263.42	-1748.14
7197	world	2546.89	263.01	-1817.46
7198	world	2663.07	228.02	-1809.58
7199	world	2583.13	308.57	-1923.31
7200	world	2622.14	263.46	-1746.48
7201	world	2442.36	235.33	-1672.28
7202	world	2689.68	221.2	-1859.35
7203	world	2710.65	234.61	-1721.95
7284	world	-2538.23	606.16	-852.72
7285	world	-2207.52	490	-793.07
7286	world	-2861.23	523.92	-2397.93
7287	world	-2882.81	524.24	-2439.52
7288	world	-2252.57	491.38	-712.87
7289	world	-2257.57	492.29	-759.58
7290	world	-2239.49	492.06	-797.15
7291	world	-2220.45	497.39	-789.08
7292	world	-764.36	228.53	4231.06
7293	world	-731.4	231.79	4252.9
7294	world	-2501.16	218.01	4084.24
7295	world	-2463.41	219.35	4128.19
7296	world	-377.92	229.04	4287.46
7297	world	-743.48	259.54	4166.76
7298	world	-736.79	232.12	4232.76
7299	world	-1490.03	222.61	4223.13
7300	world	-1682.23	217.61	2284.19
7301	world	-2716.66	219.84	2029.65
7302	world	-2681.54	218.06	2050.48
7303	world	-2475.52	219.43	2253.62
7304	world	-2753.04	220.01	1807.61
7305	world	-2711.6	218.01	2065.12
7306	world	-2669.61	218.3	2063.83
7307	world	-1591.94	218.05	2313.98
7308	world	-1667.88	217.76	2318.9
7309	world	-1676.62	217.64	2297.98
7311	world	1473.75	229.19	-1690.92
7312	world	2449.15	221.01	76.94
7313	world	-2181.47	226.01	3191.61
7314	world	-2692.37	379.02	3102.54
7315	world	-2469.65	218.97	3115.17
7316	world	-2556.87	260.56	2932.35
7317	world	-2690.89	285.99	3432.12
7318	world	-2626.41	256.03	3419.68
7319	world	-2691.95	379.02	3084.96
7320	world	-2439.37	218.33	3117.79
7321	world	-2117.39	235	3198.91
7322	world	-2425.49	218.34	3464.23
7325	world	2748.5	231.73	162.66
7325	world	2766.44	285.2	-323.83
7325	world	2143.06	225.93	-250.35
7329	world	2295.64	197.99	404.55
7329	a21	741.98	178.35	752.52
7332	world	2720.65	209.53	1054.6
7332	world	2418.37	209.53	816.26
7333	world	2794.59	396.7	12.67
7335	world	-2549.88	215.67	4109.94
7336	world	-2525	217.74	4089.2
7337	world	-2500.33	217.11	4100.19
7338	world	-2498.28	217.48	4096.92
7339	world	-2547.55	217.58	4129.95
7340	world	-2544.05	217.39	4131.39
7341	world	-2482.11	219.64	4133.71
7342	world	-2503.7	219.5	4174.58
7343	world	-1497.57	221.77	4239.82
7344	world	-1513.72	221.87	4236.17
7345	world	-1499.15	221.81	4234.64
7346	world	-1507.1	221.83	4231.86
7347	world	-752.06	230.84	4224.76
7348	world	-756.88	230.65	4226.27
7349	world	-750.47	231.74	4266.15
7350	world	-746.69	231.63	4263.8
7351	world	-788.64	230.21	4256.95
7352	world	-781.5	228.35	4245.78
7353	world	-714.43	231.97	4236.7
7354	world	-718.38	231.84	4248.44
7355	world	-2472.92	218.1	3441.77
7356	world	-2518.17	218.1	3441.18
7357	world	-2447.34	218.1	3416.29
7358	world	-2475.16	218.1	3408.18
7359	world	-2444.84	218.14	3473.95
7360	world	-2437.65	218.21	3473.9
7361	world	-2430.13	218.13	3473.5
7362	world	-2522.16	218.1	3419.03
7363	world	-2505.12	218.1	3456.96
7364	world	-2417.53	218.78	3414.48
7365	world	-2113.48	241.31	3141.46
7366	world	-2132.32	241.38	3112.2
7367	world	-2180.87	226.01	3169.97
7368	world	-2179.62	226.01	3163.93
7369	world	-2184.18	226.01	3203.79
7370	world	-2189.79	226.01	3203.05
7371	world	-2178.74	226.01	3202.77
7372	world	-2181.21	226.01	3158.35
7373	world	-2119.73	236.19	3212.16
7374	world	-2114.21	236.19	3211.55
7375	world	-2474.1	218.31	2730.14
7376	world	-2460.69	218.32	2721.08
7377	world	-2486.03	218.3	2723.14
7378	world	-2534.04	218.24	2627.34
7379	world	-2467.21	218.45	2625.81
7380	world	-2476.79	218.19	2662.88
7381	world	-2491.8	219.58	2602.4
7382	world	-2479.13	218.18	2676.93
7383	world	-2568.81	218.27	2608.38
7384	world	-2568.56	218.15	2599.83
7385	world	-2832.11	379.05	3091.85
7386	world	-2810.11	379.01	3111.22
7387	world	-2738.54	379.02	3110.92
7388	world	-2739.04	379.01	3076.18
7389	world	-2758.3	379.01	3076.94
7390	world	-2758.21	379.02	3110.89
7391	world	-2748.47	379.02	3109.34
7392	world	-2748.29	379.01	3078.29
7393	world	-2798.95	379.01	3111.18
7394	world	-2798.09	379.09	3074.74
7395	world	-2804.91	379.16	3074.92
7396	world	-2810.52	379.12	3075.06
7397	world	-1417.36	218.14	2638.22
7398	world	-1417.68	219.19	2656.43
7399	world	-1434.46	220.25	2665.26
7400	world	-1457.97	219.13	2673.55
7401	world	-1472.98	218.1	2662.21
7402	world	-1480.02	218.31	2625.47
7403	world	-1478.2	220.69	2603.59
7404	world	-1455.72	218.1	2605.36
7405	world	-1418.45	218.15	2621.53
7406	world	-1420.13	218.13	2626.98
7407	world	-2700.25	218.01	1966.26
7408	world	-2700.13	218.01	1970.07
7409	world	-2683.81	218.03	1964.47
7410	world	-2679.07	218.03	1965.16
7411	world	-2673.13	218.95	1995.61
7412	world	-2688.29	218.09	2031.43
7413	world	-2678.31	218.05	2074.62
7414	world	-2692.15	218.06	2094.05
7415	world	-1626.82	218.23	2249.69
7416	world	-1711.59	222	2295.66
7417	world	-1680.36	217.79	2249.98
7418	world	-1644.06	217.95	2255.38
7419	world	-1644.41	217.9	2270.34
7420	world	-1618.53	218.01	2298.97
7421	world	-1618.84	218.01	2314.47
7422	world	-1645.65	217.86	2298.34
7423	world	2750.52	220.87	664.75
7424	world	2771.95	220.65	687.71
7425	world	2743.48	219.1	678.6
7426	world	2748.06	219.09	685
7427	world	2455.28	219.52	115.71
7428	world	2460.18	219.52	155.18
7429	world	2495.5	219.52	140.51
7430	world	2522.59	219.52	122
7431	world	2369.32	219.52	152.5
7432	world	2398.5	219.52	150.95
7433	world	2427.29	219.52	168.41
7434	world	2405.17	219.52	122.28
7435	world	2390.23	219.52	122.06
7436	world	2430.39	219.52	121.2
7437	world	2425.04	219.52	121.29
7438	world	2371.01	219.52	121.04
7439	world	2364.44	219.52	120.96
7440	world	2342.52	219.52	150.66
7441	world	2489.84	219.52	146.78
7442	world	2450.74	219.52	155.21
7443	world	2417.37	219.52	169.35
7444	world	-2219.77	490.37	-813.05
7445	world	-2191.78	496.27	-747.13
7446	world	-2217.6	492.56	-731.88
7447	world	-2169.97	490.38	-775.55
7448	world	-2230.66	492.9	-863.74
7449	world	-2318.21	491.69	-805.25
7450	world	-2258.25	491.58	-729.84
7451	world	-2182.41	492.55	-816.36
7452	world	1386.03	218.87	-1368.82
7453	world	1399.18	218.91	-1366.15
7454	world	1351.55	218.99	-1335.3
7455	world	1357.38	218.86	-1327.91
7456	world	1370.21	218.9	-1315.99
7457	world	1379.67	218.67	-1317.13
7458	world	1388.77	218.77	-1317.65
7459	world	1363.37	218.89	-1320.44
7460	world	2417.52	235.8	-786.07
7461	world	2406.21	234.72	-784.41
7462	world	2375.13	220.11	-752.87
7463	world	2341.36	219.27	-738.97
7464	world	1456.3	231.7	-1756.7
7465	world	1459.93	231.32	-1749
7466	world	1470.28	229.2	-1736.72
7467	world	1473.4	228.76	-1778.18
7468	world	1498.75	227.44	-1740.07
7469	world	1538.82	230.54	-1718.64
7470	world	1554.46	229.05	-1732.04
7471	world	1506.27	224.94	-1724.5
7472	world	2675.36	228.03	-1793.25
7473	world	2639.73	228.07	-1798.35
7475	world	2639.1	228.22	-1816.16
7476	world	2670.05	228.01	-1757.4
7477	world	2692.64	228.01	-1769.56
7478	world	2698.66	228.11	-1755.31
7479	world	2658.92	228.01	-1771.66
7480	world	2546.9	263.01	-1812.6
7481	world	2546.9	262.98	-1809.5
7482	world	2548.76	267.38	-1765.42
7483	world	2547.04	267.28	-1762.08
7484	world	2581.13	258.77	-1779.13
7485	world	2583.22	258.75	-1779.3
7486	world	2636.59	228.02	-1829.5
7487	world	2713.5	228.01	-1744.44
7488	world	2650.01	228.2	-1786.95
7489	world	2654.81	228.02	-1782.65
7650	world	-2863.74	526.01	-2367.37
7651	world	-2893.64	525.78	-2361.52
7652	world	-2914.66	523.85	-2404.85
7653	world	-2914.57	523.92	-2391.06
7654	world	-2808.14	540.24	-2410.4
7655	world	-2802.01	540.24	-2426.14
7656	world	-2814.39	540.24	-2435.04
7657	world	-2860.1	523.91	-2403.66
7686	world	491.12	572.15	-981.29
7687	world	1579.61	216.72	3623.42
7688	world	2431.02	235.55	-1682.46
7689	world	2575.51	309.41	-1939.52
7692	a13	133.91	341.7	-254.95
7693	world	1499.69	225.64	-1766.78
7696	world	-2520.81	216.76	4107.44
7705	world	-1501.27	228.52	2165.44
7707	world	-2433	261.88	4377.98
7708	world	-629.66	298.67	3877.6
8205	a13	25.73	341.65	207.04
8206	a13	-162.3	341.65	206.72
8207	a14	-123.98	333.42	-31.29
8208	a14	291.25	335.16	217.05
8210	a14	253.45	327.38	1.1
8211	a15	221.96	332.7	385.81
8212	a15	-234.37	332.7	230.64
8213	a15	-92.31	332.7	-8.38
8214	a15	335.96	337.02	-166.74
8215	a15	334.64	336.96	-161.77
8216	a16	139.81	265.2	0.96
8217	a16	185.22	272.03	436.96
8218	a16	-182.52	292.7	419.75
8219	a17	140.69	260.11	4.55
8220	a17	-166.96	291.79	399.56
8221	a17	178.99	257.11	437.65
8222	world	2980.12	201.18	1271.62
8223	world	1376.69	249.36	-619.9
8224	world	1461.76	250.09	-666.82
8225	a19	233.06	259.46	1.41
8227	a14	111.86	334.02	111.48
8228	world	-2618.38	221.07	2158.29
8229	world	-1476.65	218.7	4580.87
8230	world	-1286.02	221.64	4280.5
8231	world	-2542.59	532.94	-2409.8
8232	world	1076.75	243.44	-1564.42
8233	a19	14.94	221.51	271.16
8234	world	2504.03	205.43	-2076.69
8236	world	-1337.94	220.24	3275.49
8237	world	-2296.18	218.1	2239.67
8238	world	-1753.31	226.31	3116.04
8239	world	-2533.82	255.76	3774.83
8240	world	-1184.85	235.75	2604.44
8242	world	2335.89	171.17	-2405.09
8242	a18	328.43	123.44	417.55
8243	world	2070.7	184.67	-2318.14
8243	a18	243.1	208.42	-148.69
8244	world	2298.99	135.12	-2493.61
8244	a18	230.08	207.53	-20.06
8245	a08	-32.89	355.61	89.29
8247	world	425.34	266	3476.83
8247	world	1541.98	219.62	745.33
8247	world	1249.28	219.61	987.31
8247	world	1612.19	219.61	1328.17
8249	world	2607.83	225.44	46.73
8250	world	2191.39	295.58	780.9
8251	world	2263.22	263.56	-121.18
8252	world	1700.79	221.9	-108.29
8253	world	2292.41	221.58	3229.73
8254	world	-265.89	221.99	2726.66
8255	world	-2230.27	527.34	411.46
8256	world	-838.95	525.05	285
8257	world	127.24	219.64	-2319.54
8258	world	1393.69	229.73	-1888.19
8259	world	1332.95	219.21	-1391.83
8259	world	1428.86	217.32	-727.53
8260	world	2699.46	219.42	488.74
8260	a19	69.28	279.27	334.36
8261	world	2765.53	375.55	3.75
8262	world	-2949.1	233.85	2338.65
8262	world	-1797.23	227.24	1836.44
8263	world	-2838	230.86	2661.63
8264	world	-1428.65	254.2	860.87
8265	world	-648.52	219.29	-1423.45
8266	world	1718.55	223.66	1079.98
8267	world	-2804.66	379.02	3111.33
8268	world	2686.85	228	-1776
8468	world	-2566.39	204.82	3256.03
8468	world	-1195.43	200.16	3206.8
8469	world	-1304.03	201.74	3070.1
8470	world	-1144.37	191.23	3112.04
8473	a19	-115.33	219.74	338.72
8473	a19	212.69	219.67	-198.64
8474	world	-1640.93	280.47	3103.15
8475	world	1692.97	290.47	-837.6
8476	world	1391.13	274.49	-1782.23
8476	world	1063.45	238.89	-1942.13
8476	world	1062.95	243.25	-1566.46
8477	a14	-15.02	333.72	-194.82
8477	a14	91.34	334.32	110.16
8478	a14	-234.32	332.67	37.7
8479	a14	-261.95	332.65	31.99
8480	a14	-71.8	334.43	9.45
8481	a14	-46.02	332.56	-137.51
8482	a14	-112.47	332.72	-24.77
8483	a14	72.93	332.95	-75.27
8484	a14	94.22	332.78	61.49
8485	a14	168.6	332.68	119.63
8486	a14	254.85	332.56	98.09
8487	a14	257.86	332.64	60.71
8488	a14	215.92	332.56	50.67
8489	a14	300.44	333.07	224.65
8490	a14	139.16	335.24	-239.32
8491	a14	129.93	336.08	-207.95
8492	a15	68.35	332.65	-116.27
8492	a15	-53.64	332.65	358.6
8493	a15	-81.69	332.76	321.27
8494	a15	60.22	332.7	333.03
8495	a15	-72.06	332.7	218.53
8495	a15	246.98	332.7	379.57
8496	a15	-234.34	332.7	240.14
8497	a15	-44.4	332.7	195.03
8498	a15	-159.11	332.7	-177.37
8498	a15	-221.93	332.7	142.39
8499	a15	-231.84	332.66	14.69
8500	a15	-48.35	332.7	-94.38
8501	a15	-50.89	332.7	-103.11
8503	a15	37.8	332.7	68.29
8504	a15	67.43	332.7	-77.07
8505	a15	210.75	332.66	-155.76
8505	a15	54.86	332.66	162.77
8506	a15	222.89	332.66	-160.56
8506	a15	74.39	332.7	197.12
8507	a16	-0.66	254.17	-301.41
8508	a16	115.42	254.15	-38.82
8508	a16	-45.96	254.2	-390.39
8509	a16	13.03	254.2	-184.74
8510	a16	66.05	254.86	-137
8511	a16	48.73	254.14	-95.27
8512	a16	33.37	254.19	-44.35
8513	a16	98.63	254.19	185.19
8514	a16	114.49	254.14	122.7
8515	a16	62.03	254.14	168.55
8516	a16	147.48	254.14	304.59
8516	a16	-163.93	261.98	313.71
8517	a16	19.95	254.14	357.78
8518	a16	72.61	254.16	313.49
8518	a16	-235.22	254.6	431.62
8519	a17	-30.97	257.26	-340.97
8520	a17	122.95	257.26	301.18
8520	a17	-86.42	257.26	-62.79
8520	a17	-48.85	257.26	-399.48
8521	a17	8.8	257.26	-206.75
8522	a17	18.24	257.35	-209.48
8523	a17	11.82	257.35	-150.68
